meal_name,ja_meal_name,meal_type,description,img_name,showmeal,price,energy,protein,fat,carbohydrate,fiber,calcium,veggies
Salmon Rice Bowl,鮭丼,main,test description,salmon-rice-bowl.png,1,561,555,18.4,7.1,97.9,2.6,4,0
Grilled pork rice bowl (small),豚焼肉丼（小）,main,test description,grilled-pork-rice-bowl.png,1,407,549,19.9,15.4,75.9,2.1,1,37
Grilled pork rice bowl (middle),豚焼肉丼（中）,main,test description,grilled-pork-rice-bowl.png,1,473,754,28.1,20.4,105.6,2.8,1,52
Grilled pork rice bowl (large),豚焼肉丼（大）,main,test description,grilled-pork-rice-bowl.png,1,561,988,38.4,26.9,136.6,3.8,1,72
Homemade Curry with Cutlets (small),自家製ヒレカツカレー（小）,main,test description,homemade-curry-with-cutlets.png,1,390,638,17.3,21.2,90.4,2.8,32,56
Homemade Curry with Cutlets (middle),自家製ヒレカツカレー（中）,main,test description,homemade-curry-with-cutlets.png,1,501,958,26.8,34.1,129.9,4.1,46,79
Homemade Curry with Cutlets (large),自家製ヒレカツカレー（大）,main,test description,homemade-curry-with-cutlets.png,1,610,1313,38,49.2,171.9,5.7,66,114
Homemade Curry (small),自家製カレー（小）,main,test description,homemade-curry.png,1,286,519,12.4,13.6,83,2.4,28,56
Homemade Curry (middle),自家製カレー（中）,main,test description,homemade-curry.png,1,341,0,0,17.8,115.2,3.3,39,79
Homemade Curry (large),自家製カレー（大）,main,test description,homemade-curry.png,1,396,956,23.2,26.3,149.6,4.5,55,114
Mackerel stewed with ginger,さば生姜煮,alacarte,test description,mackerel-stewed-with-ginger.png,1,242,208,9.5,14.2,5.6,0.8,5,0
Hamburger steak with grated Japanese radish sauce,ハンバーグ（おろし）,alacarte,test description,hamburger-steak-with-grated-japanese-radish-sauce.png,1,209,239,14.9,14.1,12,1.6,99,23
Chicken cutlet,チキンカツ,alacarte,test description,chicken-cutlet.png,1,187,231,12.9,14.6,12.2,0.4,0,0
Fried white fish,白身魚フライ,alacarte,test description,fried-white-fish.png,1,121,226,5.5,16.7,12.4,0.5,11,0
Hashed Potato,ハッシュブラウン,alacarte,test description,hashed-potato.png,1,88,215,1.2,16.7,14.8,0.7,0,0
Fried Dumplings,揚げ餃子,alacarte,test description,fried-dumplings.png,1,66,87,2.6,4.7,8.6,0.4,8,13
Bang Bang Chicken Salada,棒棒鶏サラダ,alacarte,test description,bang-bang-chicken-salada.png,1,176,78,4.8,3.8,6.9,1,7,57
Stewed liver with satsuma herb chicken,薩摩ハーブ鶏のレバー煮,alacarte,test description,stewed-liver-with-satsuma-herb-chicken.png,1,88,81,9.4,1.3,8.1,1.3,0,0
Mashed pumpkin salad,パンプキンサラダ,alacarte,test description,mashed-pumpkin-salad.png,1,66,104,1.1,7,9,0.3,0,33
Lotus root sauteed in sugar and soy sauce,レンコンきんぴら,alacarte,test description,lotus-root-sauteed-in-sugar-and-soy-sauce.png,1,66,48,0.8,1.2,9.2,0.8,16,28
Rice (small),ライス（小）,alacarte,test description,rice.png,1,77,221,3.9,0,48.1,0,0,0
Rice (middle),ライス（中）,alacarte,test description,rice.png,1,110,340,6,0,74,0,0,0
Rice (large),ライス（大）,alacarte,test description,rice.png,1,143,459,8.1,0,99.9,0,0,0
Miso soup with pork and vegetables,豚汁,alacarte,test description,miso-soup-with-pork-and-vegetables.png,1,88,72,4.3,2.7,7.2,1.4,11,41
Soft boiled egg,温泉たまご,alacarte,test description,soft-boiled-egg.png,1,88,78,6.7,5.6,1.9,0.2,25,0
Cheese topping,トッピングチーズ,alacarte,test description,cheese-topping.png,1,77,93,6.8,7.5,0.3,0.3,193,0
Vegetarian curry,７種の野菜カレートヘクリアン雑愛,main,test description,vegetarian-curry.png,1,462,587,14.6,6.3,111.7,2.2,56,60
Beef croquette,牛肉コロッケ,alacarte,test description,beef-croquette.png,1,121,237,3.2,15.8,20.6,0.6,9,1
Ohitashi-Cropped okra,オクラのお浸し,alacarte,test description,ohitashi-cropped-okra.png,1,66,0,0,0,0,0,0,0
Miso soup,味噌汁（豆腐・わかり）,alacarte,test description,miso-soup.png,1,44,22,1.2,0.5,2.8,1.5,0,0
Potato salad,ポテトサラダ,alacarte,test description,potato-salad.png,1,66,117,1.7,7.5,10.8,0.8,0,0
Boiled-Spinach-With-Sesame paste,ほうれん草ゴマあえ,alacarte,test description,boiled-spinach-with-sesame-paste.png,1,66,28,2.1,1,3.3,0.5,84,50
Minced-Chicken-Rice bowl (small),鶏そぼろ丼（小）,main,test description,minced-chicken-rice-bowl.png,1,407,424,14.9,5.6,73.6,1.5,0,1
Minced-Chicken-Rice bowl (middle),鶏そぼろ丼（中）,main,test description,minced-chicken-rice-bowl.png,1,473,620,23.3,9.4,104.2,2.4,0,2
Minced-Chicken-Rice bowl (large),鶏そぼろ丼（大）,main,test description,minced-chicken-rice-bowl.png,1,561,778,28.6,11.2,132.4,2.9,0,3
Fried-Pork-Belly-Rice bowl (small),豚バラ揚げ煮丼（小）,main,test description,fried-pork-belly-rice-bowl.png,1,462,622,13.3,24.8,79,2.2,3,10
Fried-Pork-Belly-Rice bowl (middle),豚バラ揚げ煮丼（中）,main,test description,fried-pork-belly-rice-bowl.png,1,522,876,18.9,36,107.5,2.2,5,20
Fried-Pork-Belly-Rice bowl (large),豚バラ揚げ煮丼（大）,main,test description,fried-pork-belly-rice-bowl.png,1,602,1133,24.6,48.5,136,2.2,7,30
Grilled-Salmon-With-Japanese marinade,焼鮭の和風マリネ,alacarte,test description,grilled-salmon-with-japanese-marinade.png,1,198,0,0,0,0,0,0,0
Soy-Sauce-Taste-Boiled-Dried-Daikon-Radish strips,切干大根,alacarte,test description,soy-sauce-taste-boiled-dried-daikon-radish-strips.png,1,66,22,1,0.6,3.2,0.4,23,29
Broccoli broccoli,ブロッコリー,alacarte,test description,broccoli.png,1,66,87,2.2,7.9,2.2,0.2,15,50
Miso-Fillet-Cutlet-Rice bowl (small),みそヒレカツ丼（小）,main,test description,miso-fillet-cutlet-rice-bowl.png,1,451,603,16.9,17.4,90.3,1.9,43,0
Miso-Fillet-Cutlet-Rice bowl (middle),みそヒレカツ丼（中）,main,test description,miso-fillet-cutlet-rice-bowl.png,1,533,860,24.4,25.2,127.2,2.7,47,0
Miso-Fillet-Cutlet-Rice bowl (large),みそヒレカツ丼（大）,main,test description,miso-fillet-cutlet-rice-bowl.png,1,635,1121,32,33.1,165.2,3.7,50,0
Grilled-Pork-With-Soybean-Rice bowl (small),豚みそ焼肉丼（小）,main,test description,grilled-pork-with-soybean-rice-bowl.png,1,385,518,20.4,11.5,77.3,1.2,0,35
Grilled-Pork-With-Soybean-Rice bowl (middle),豚みそ焼肉丼（中）,main,test description,grilled-pork-with-soybean-rice-bowl.png,1,473,726,29,16.5,107,1.7,0,50
Grilled-Pork-With-Soybean-Rice bowl (large),豚みそ焼肉丼（大）,main,test description,grilled-pork-with-soybean-rice-bowl.png,1,583,967,39.6,23,139.9,2.4,0,70
Salt-Grilled mackerel,さば塩焼き,alacarte,test description,salt-grilled-mackerel.png,1,253,322,17,26.5,0.4,1.4,7,0
Potherb-Mustard-And-Deep-Fried-Tofu-With-Japanese-Mustard sauce,水菜と油揚げのからし和え,alacarte,test description,potherb-mustard-and-deep-fried-tofu-with-japanese-mustard-sauce.png,1,99,30,1.6,1.3,3,0.5,74,27
Simmered-Bamboo-Shoots-With katsuobushi,筍の土佐煮,alacarte,test description,simmered-bamboo-shoots-with-katsuobushi.png,1,99,33,2,0.1,6,0.9,7,40
Fried-Chikuwa-With laver,竹輪の磯辺場げ,alacarte,test description,fried-chikuwa-with-laver.png,1,77,0,0,0,0,0,0,0
